user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase,time_on_site_hours,age_group,engagement_score,engagement_level,funnel_stage,customer_stage,customer_recommendation,predicted_buyer,buyer_label
1,56,Female,Desktop,12.9,8,13,1,1,0,0,6.97,28.18,1,0.22,Senior Users,0.268,Low,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
2,46,Male,Mobile,15.63,9,4,6,1,1,1,19.17,86.73,1,0.26,Senior Users,0.58,Medium,Product Explorer,Low Retention Users,Send Personalized Offers,1,Buyer
3,32,Female,Mobile,11.64,12,11,0,0,0,1,8.87,83.09,1,0.19,Adults,0.267,Low,Active Browser,Low Retention Users,Send Personalized Offers,0,Non-Buyer
4,25,Female,Mobile,22.71,5,10,1,0,0,1,14.3,79.03,1,0.38,Young Adults,0.286,Low,Product Explorer,Low Retention Users,Send Personalized Offers,0,Non-Buyer
5,38,Female,Mobile,26.35,9,12,4,1,0,0,18.15,55.35,1,0.44,Mid-Age Users,0.54,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
6,56,Female,Desktop,26.6,1,12,7,1,1,0,28.4,13.9,1,0.44,Senior Users,0.582,Medium,Visitor,High Intent Users,Offer Fast Checkout Discount,1,Buyer
7,36,Male,Mobile,7.6,11,11,6,1,1,1,4.51,13.12,1,0.13,Mid-Age Users,0.558,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
8,40,Female,Mobile,26.98,7,5,2,1,0,0,33.34,12.61,1,0.45,Mid-Age Users,0.402,Medium,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
9,28,Female,Mobile,10.9,14,7,9,0,0,1,13.8,85.46,1,0.18,Adults,0.794,High,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
10,28,Female,Mobile,9.97,3,14,8,0,0,0,14.12,14.16,1,0.17,Adults,0.558,Medium,Visitor,High Intent Users,Offer Fast Checkout Discount,1,Buyer
11,41,Female,Tablet,22.08,11,14,4,1,1,0,23.43,80.85,1,0.37,Mid-Age Users,0.543,Medium,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
12,53,Female,Mobile,9.84,17,6,2,1,0,0,5.97,84.47,1,0.16,Senior Users,0.445,Medium,Highly Interested User,Low Retention Users,Send Personalized Offers,0,Non-Buyer
13,57,Male,Desktop,2.54,18,6,6,0,0,1,3.37,10.5,1,0.04,Senior Users,0.634,Medium,Highly Interested User,High Intent Users,Offer Fast Checkout Discount,1,Buyer
14,41,Male,Desktop,11.83,19,0,3,1,1,1,9.63,90.2,1,0.2,Mid-Age Users,0.546,Medium,Highly Interested User,Low Retention Users,Send Personalized Offers,1,Buyer
15,20,Female,Desktop,21.92,18,2,0,1,0,0,30.68,89.75,1,0.37,Young Adults,0.43,Medium,Highly Interested User,Low Retention Users,Send Personalized Offers,0,Non-Buyer
16,39,Male,Mobile,10.48,6,2,4,0,1,0,15.49,63.82,1,0.17,Mid-Age Users,0.387,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
17,38,Male,Desktop,19.26,15,6,7,0,0,0,12.18,51.3,1,0.32,Mid-Age Users,0.754,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
18,41,Female,Mobile,20.14,7,11,3,1,0,0,11.74,64.73,1,0.34,Mid-Age Users,0.411,Medium,Product Explorer,Casual Visitors,Recommend Popular Products,1,Buyer
19,47,Female,Desktop,22.28,5,13,6,1,0,1,31.14,40.48,1,0.37,Senior Users,0.561,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
20,55,Female,Mobile,27.02,5,1,7,1,0,0,37.8,58.87,1,0.45,Senior Users,0.648,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
21,19,Male,Mobile,15.73,7,9,8,0,0,0,14.69,96.95,1,0.26,Young Adults,0.66,High,Product Explorer,Low Retention Users,Send Personalized Offers,1,Buyer
22,38,Female,Mobile,5.83,12,6,8,1,1,0,8.09,11.33,1,0.1,Mid-Age Users,0.673,High,Active Browser,Highly Engaged Users,Recommend Premium Products,1,Buyer
23,50,Male,Desktop,10.25,8,8,4,0,0,0,14.66,23.38,1,0.17,Senior Users,0.417,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
24,29,Male,Mobile,13.53,18,0,5,1,0,1,14.28,52.41,1,0.23,Adults,0.652,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
25,39,Male,Mobile,21.7,18,11,6,1,0,1,25.75,25.86,1,0.36,Mid-Age Users,0.762,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
26,42,Female,Mobile,1.38,17,13,9,0,0,1,1.54,99.28,1,0.02,Mid-Age Users,0.778,High,Highly Interested User,Low Retention Users,Send Personalized Offers,1,Buyer
27,38,Male,Tablet,10.16,11,1,1,0,1,1,6.85,72.03,1,0.17,Mid-Age Users,0.297,Low,Active Browser,Low Retention Users,Send Personalized Offers,0,Non-Buyer
28,59,Female,Desktop,23.62,15,10,8,1,0,0,22.11,43.4,1,0.39,Senior Users,0.839,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
29,45,Female,Mobile,20.45,6,5,0,0,1,1,24.16,90.27,1,0.34,Mid-Age Users,0.231,Low,Product Explorer,Low Retention Users,Send Personalized Offers,0,Non-Buyer
30,33,Female,Desktop,22.22,12,1,5,1,1,1,24.67,14.44,1,0.37,Adults,0.615,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
31,32,Female,Mobile,24.54,7,13,5,0,1,0,17.55,28.79,1,0.41,Adults,0.552,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
